Query Point,K-Value,Time Taken (nanoseconds)
,87,1256882
,88,1350526
,89,1272052
,90,1357161
,91,1270526
,92,1354035
,93,1273602
,94,1352897
,95,1274153
,96,1352051
,97,1284934
,98,1395525
,99,1353525
,100,1440017
"314772, 5.80987e+06, 1.61",1,24000
,2,336525
,3,396999
,4,461999
,5,407525
,6,474537
,7,556000
,8,668524
,9,663999
,10,769050
,11,690489
,12,792524
,13,742524
,14,825000
,15,856525
,16,962524
,17,930000
,18,1055525
,19,983960
,20,1094437
,21,1009048
,22,1120525
,23,1027525
,24,1194524
,25,1114444
,26,1235921
,27,1134825
,28,1509558
,29,1192899
,30,1296027
,31,1310901
,32,1421781
,33,1325634
,34,1516746
,35,1321292
,36,1430980
,37,1356274
,38,1434526
,39,1326525
,40,1440982
,41,1348525
,42,1465231
,43,1355861
,44,1468052
,45,1358525
,46,1473135
,47,1379044
,48,1492334
,49,1379328
,50,1493721
,51,1379148
,52,1520821
,53,1412388
,54,1494051
,55,1523059
,56,1644525
,57,1523526
,58,1698444
,59,1576396
,60,1720999
,61,1593526
,62,1719354
,63,1779913
,64,1912806
,65,1778535
,66,1939821
,67,1874531
,68,2009564
,69,1875525
,70,2006933
,71,1881000
,72,2016085
,73,1867797
,74,2009809
,75,1889525
,76,2059970
,77,1924050
,78,2062999
,79,1952526
,80,2223889
,81,2029311
,82,2175841
,83,2084253
,84,2173059
,85,2114901
,86,2244871
,87,2103334
,88,2272073
,89,2130055
,90,2292090
,91,2132105
,92,2307595
,93,2189304
,94,2380895
,95,2227312
,96,2382485
,97,2231024
,98,2409226
,99,2265607
,100,2417845
"314915, 5.80959e+06, 2.94",1,24002
,2,66994
,3,67991
,4,77009
,5,187997
,6,245002
,7,265998
,8,408995
,9,384006
,10,438982
,11,428561
,12,617330
,13,573072
,14,701973
,15,746272
,16,852000
,17,807026
,18,922311
,19,873442
,20,2476550
,21,3542415
,22,3827552
,23,2992910
,24,3347999
,25,3235575
,26,3602447
,27,3438732
,28,3711990
,29,3501290
,30,4765444
,31,4692666
,32,4433930
,33,3708873
,34,1603393
,35,1631109
,36,1611785
,37,1455475
,38,1609389
,39,1680670
,40,1611086
,41,1524959
,42,1652160
,43,1559531
,44,1684884
,45,1570025
,46,1691306
,47,1567104
,48,1716472
,49,1623284
,50,1752393
,51,1631772
,52,1766479
,53,1739840
,54,1937357
,55,1708976
,56,1986995
,57,1731657
,58,1864682
,59,1747909
,60,1909209
,61,1776459
,62,2057365
,63,2046985
,64,2210083
,65,1989732
,66,2112972
,67,2055157
,68,2211045
,69,2019228
,70,2112855
,71,1994797
,72,2187058
,73,2040177
,74,2174147
,75,2051293
,76,2247384
,77,2060264
,78,2208188
,79,2058218
,80,2220032
,81,2125938
,82,2269316
,83,2127713
,84,2259665
,85,2173745
,86,2312683
,87,2175181
,88,2310602
,89,2184823
,90,2397428
,91,2186508
,92,2401713
,93,2225298
,94,2580223
,95,2336488
,96,2402687
,97,2265239
,98,2405406
,99,2273797
,100,2579839
"314738, 5.80988e+06, 1.83",1,24992
,2,432876
,3,437186
,4,506624
,5,475298
,6,559288
,7,597380
,8,697853
,9,624811
,10,716250
,11,699247
,12,733909
,13,693131
,14,762172
,15,837238
,16,840398
,17,759507
,18,952595
,19,868810
,20,952960
,21,906359
,22,1059905
,23,967353
,24,1073180
,25,990957
,26,1104774
,27,1081407
,28,1136458
,29,1057513
,30,1170844
,31,1233070
,32,3567973
,33,3485092
,34,3795801
,35,3561700
,36,1461829
,37,1224569
,38,1361029
,39,1271619
,40,1422394
,41,1305466
,42,1424439
,43,1381729
,44,1430758
,45,1317485
,46,1429942
,47,1318136
,48,1465645
,49,1351122
,50,1465360
,51,1362648
,52,1476923
,53,1403329
,54,1528936
,55,1362314
,56,1477292
,57,1411726
,58,1616841
,59,1374342
,60,1487809
,61,1376565
,62,1502252
,63,1634332
,64,1762991
,65,1652334
,66,1874923
,67,1770893
,68,1906135
,69,1771568
,70,1907773
,71,1773983
,72,1966179
,73,1759989
,74,1890001
,75,1832417
,76,1910996
,77,1768127
,78,1903985
,79,1855381
,80,1928752
,81,1805269
,82,1968065
,83,1810817
,84,1938414
,85,1873746
,86,1988637
,87,1814175
,88,1941499
,89,1871469
,90,1952371
,91,1809119
,92,1943174
,93,1823643
,94,1957532
,95,1824989
,96,1953704
,97,1830829
,98,1998013
,99,1890718
,100,2040763
"314971, 5.8096e+06, -0.21",1,22001
,2,85002
,3,124998
,4,140009
,5,139988
,6,158002
,7,160998
,8,182000
,9,195522
,10,187999
,11,202051
,12,230002
,13,213012
,14,230986
,15,232998
,16,250994
,17,265007
,18,297488
,19,302999
,20,342993
,21,321002
,22,347995
,23,322004
,24,346004
,25,320864
,26,351018
,27,343801
,28,365996
,29,344002
,30,370059
,31,373007
,32,398995
,33,378585
,34,405004
,35,380000
,36,404002
,37,378998
,38,402002
,39,382311
,40,421850
,41,396996
,42,419999
,43,396339
,44,419995
,45,394669
,46,423328
,47,400984
,48,477002
,49,454656
,50,489996
,51,460994
,52,532257
,53,474007
,54,505995
,55,481536
,56,512620
,57,483333
,58,556466
,59,527051
,60,527498
,61,541952
,62,581359
,63,553989
,64,586553
,65,563438
,66,640992
,67,622323
,68,669954
,69,642590
,70,693945
,71,673999
,72,687843
,73,653539
,74,692986
,75,707302
,76,754585
,77,785866
,78,835005
,79,785777
,80,837015
,81,793003
,82,842830
,83,790528
,84,858406
,85,810241
,86,858642
,87,809418
,88,858997
,89,810671
,90,858504
,91,852002
,92,923659
,93,921057
,94,979990
,95,924314
,96,979738
,97,927660
,98,1006114
,99,983658
,100,1042823
"314983, 5.80992e+06, 0.54",1,21007
,2,40000
,3,67011
,4,80990
,5,72996
,6,89003
,7,90001
,8,109000
,9,100990
,10,190007
,11,174114
,12,206571
,13,265000
,14,520360
,15,527752
,16,606018
,17,619629
,18,763665
,19,702740
,20,798986
,21,739665
,22,832008
,23,759097
,24,833988
,25,754814
,26,853670
,27,780992
,28,855564
,29,876727
,30,974590
,31,978962
